no,판매일자,시간,상품명,단위,포장수량,구입단가,판매단가,수량,할인,판매금액,거래구분,고객명
24,2025-03-30,17:13:45,타이레놀500mg(10t),개,1,"2,250","4,000",1,0,"4,000",하나카드,
25,2025-03-30,17:13:31,타이레놀500mg(10t),개,1,"2,250","4,000",1,0,"4,000",현금수납,
26,2025-03-30,16:58:45,D-판테놀연고,개,1,"4,510","10,000",1,0,"30,000",하나카드,
26,2025-03-30,16:58:45,멜라토닝크림,개,1,"14,300","20,000",1,0,"30,000",하나카드,
27,2025-03-30,16:41:17,타이레놀콜드에스(10t),개,1,"2,150","4,000",2,0,"8,000",현대카드,
28,2025-03-30,16:40:38,탁센연질캡슐30정,개,1,"3,889","8,000",1,0,"8,000",NH카드,
29,2025-03-30,16:39:58,프렌즈 아이드롭 쿨하이,개,1,"3,300","6,000",1,0,"6,000",국민카드,
30,2025-03-30,16:28:50,인플라정,개,1,750,"3,000",1,0,"6,000",비씨카드,
30,2025-03-30,16:28:50,해농정,개,1,950,"3,000",1,0,"6,000",비씨카드,
31,2025-03-30,16:28:16,프렌즈 아이드롭 쿨,개,1,"3,300","6,000",1,0,"6,000",현대카드,
32,2025-03-30,16:14:28,멘소래담로오숀75ml,개,1,"3,945","6,000",1,0,"6,000",국민카드,
33,2025-03-30,16:12:08,페인엔젤 레이디 10cap,개,1,"1,300","4,000",1,0,"4,000",국민카드,
34,2025-03-30,16:11:31,탁센연질캡슐30정,개,1,"3,889","8,000",1,0,"8,000",하나카드,
