no,판매일자,시간,상품명,단위,포장수량,구입단가,판매단가,수량,할인,판매금액,거래구분,고객명
26,2025-04-27,16:33:41,기맥연조엑스(맥문동탕) 5포,개,1,"2,292","7,000",1,0,"10,500",신한카드,
26,2025-04-27,16:33:41,캐롤비코프,개,1,720,"3,500",1,0,"10,500",신한카드,
27,2025-04-27,16:22:56,쎄르텍정10t,개,1,550,"3,000",1,0,"6,000",삼성카드,
27,2025-04-27,16:22:56,파이에온정,개,1,750,"3,000",1,0,"6,000",삼성카드,
28,2025-04-27,16:19:45,경방갈근탕액,개,1,495,"2,000",1,0,"5,500",국민카드,
28,2025-04-27,16:19:45,판텍큐플러스,개,1,693,"3,500",1,0,"5,500",국민카드,
29,2025-04-27,16:11:46,알유-21(RU-21),개,1,"2,750","6,000",1,0,"6,000",현대카드,
30,2025-04-27,16:07:42,벤포파워Z,개,1,973,"3,000",2,0,"28,000",국민카드,
30,2025-04-27,16:07:42,웅기보,개,1,210,"1,000",2,0,"28,000",국민카드,
30,2025-04-27,16:07:42,플라도반액,개,1,"2,333","10,000",2,0,"28,000",국민카드,
31,2025-04-27,16:06:13,그린포비돈요오드액,개,1,590,"1,000",1,0,"5,000",국민카드,
31,2025-04-27,16:06:13,드레싱밴드살색,개,1,"1,800","4,000",1,0,"5,000",국민카드,
32,2025-04-27,15:47:44,미등록상품,개,1,"5,738","7,000",1,0,"7,000",비씨카드,
33,2025-04-27,15:42:56,기맥연조엑스(맥문동탕) 5포,개,1,"2,292","7,000",1,0,"16,500",비씨카드,
33,2025-04-27,15:42:56,엔디펜정,개,1,800,"3,000",1,0,"16,500",비씨카드,
33,2025-04-27,15:42:56,판텍큐 코프,개,1,693,"3,500",1,0,"16,500",비씨카드,
33,2025-04-27,15:42:56,포박신,개,1,800,"3,000",1,0,"16,500",비씨카드,
34,2025-04-27,15:11:17,나프원큐,개,1,880,"3,000",1,0,"3,000",신한카드,
35,2025-04-27,15:07:17,경방갈근탕액,개,1,495,"2,000",3,0,"9,500",현대카드,
35,2025-04-27,15:07:17,판텍큐플러스,개,1,693,"3,500",1,0,"9,500",현대카드,
36,2025-04-27,15:05:16,탁센연질캡슐,개,1,"1,100","3,000",1,0,"3,000",신한카드,
37,2025-04-27,14:58:32,판콜에스 1박스(30병),개,1,"3,100","3,500",1,0,"3,500",현대카드,
38,2025-04-27,14:52:32,나조린점안액,개,1,"1,630","5,000",1,0,"5,000",비씨카드,
39,2025-04-27,14:51:13,해피타임플러스,개,1,880,"4,000",1,0,"4,000",현대카드,
40,2025-04-27,14:41:16,경방갈근탕액,개,1,495,"2,000",3,0,"9,500",신한카드,
40,2025-04-27,14:41:16,판텍큐플러스,개,1,693,"3,500",1,0,"9,500",신한카드,
41,2025-04-27,14:36:17,복합파자임이중정 10정,개,1,"1,100","4,000",1,0,"8,000",하나카드,
41,2025-04-27,14:36:17,타이레놀500mg(10t),개,1,"2,250","4,000",1,0,"8,000",하나카드,
42,2025-04-27,14:30:03,폼포미고탄력밴드혼합형40매,개,1,"2,750","6,000",1,0,"6,000",삼성카드,
43,2025-04-27,14:23:59,엔디펜정,개,1,800,"3,000",1,0,"6,000",하나카드,
43,2025-04-27,14:23:59,포박신,개,1,800,"3,000",1,0,"6,000",하나카드,
44,2025-04-27,14:22:18,지르텍정,개,1,"4,200","5,500",1,0,"5,500",국민카드,
45,2025-04-27,14:18:47,코트리나캡슐,개,1,"1,265","5,000",2,0,"10,000",롯데카드,
46,2025-04-27,14:10:55,까스활명수큐액 1병,개,1,"1,050","1,200",1,0,"5,200",국민카드,
46,2025-04-27,14:10:55,복합파자임이중정 10정,개,1,"1,100","4,000",1,0,"5,200",국민카드,
47,2025-04-27,14:04:25,반테린 서포터 손목 M,개,1,"13,200","22,000",1,0,"22,000",비씨카드,
48,2025-04-27,13:58:12,루핑점안액,개,1,"3,685","10,000",1,0,"10,000",하나카드,
49,2025-04-27,13:57:42,코트리나캡슐,개,1,"1,265","5,000",1,0,"5,000",신한카드,
50,2025-04-27,13:55:57,콜대원 코프 큐,개,1,"1,750","4,000",1,0,"4,000",하나카드,
51,2025-04-27,13:55:19,지르텍정,개,1,"4,200","5,500",3,0,"16,500",현대카드,
52,2025-04-27,13:53:52,듀오그린정,개,1,"1,250","5,000",1,0,"5,000",현대카드,
53,2025-04-27,13:51:01,타이레놀8시간이알서방(신)650mg,개,1,"1,600","3,500",1,0,"3,500",현대카드,
54,2025-04-27,13:43:03,타이레놀500mg(10t),개,1,"2,250","4,000",1,0,"7,500",국민카드,
54,2025-04-27,13:43:03,타이레놀8시간이알서방(신)650mg,개,1,"1,600","3,500",1,0,"7,500",국민카드,
55,2025-04-27,13:42:09,탁센레이디,개,1,"1,188","4,000",1,"1,000","3,000",신한카드,
56,2025-04-27,13:40:59,쎄르텍정10t,개,1,550,"3,000",1,0,"6,000",롯데카드,
56,2025-04-27,13:40:59,파이에온정,개,1,750,"3,000",1,0,"6,000",롯데카드,
57,2025-04-27,13:25:31,지르텍정,개,1,"4,200","5,500",1,0,"9,500",국민카드,
57,2025-04-27,13:25:31,탁센레이디,개,1,"1,188","4,000",1,0,"9,500",국민카드,
58,2025-04-27,13:23:55,판텍큐플러스,개,1,693,"3,500",1,0,"3,500",국민카드,
59,2025-04-27,13:22:35,타이레놀500mg(30T),개,1,"6,500","10,000",1,0,"10,000",국민카드,
60,2025-04-27,13:13:52,기맥연조엑스(맥문동탕) 5포,개,1,"2,292","7,000",1,0,"7,000",비씨카드,
61,2025-04-27,13:06:53,소청연연조엑스(소청룡탕) 5포,개,1,"2,000","7,000",1,0,"12,000",신한카드,
61,2025-04-27,13:06:53,코트리나캡슐,개,1,"1,265","5,000",1,0,"12,000",신한카드,
62,2025-04-27,13:02:17,에어캅마스크5매입,개,1,"1,000","3,000",1,0,"6,000",신한카드,
62,2025-04-27,13:02:17,에어캅마스크소형,개,1,"1,000","3,000",1,0,"6,000",신한카드,
63,2025-04-27,12:58:23,캐롤비코프,개,1,720,"3,500",1,0,"3,500",국민카드,
64,2025-04-27,12:54:56,멕시롱액,개,1,495,"1,000",1,0,"5,000",비씨카드,
64,2025-04-27,12:54:56,복합파자임이중정 10정,개,1,"1,100","4,000",1,0,"5,000",비씨카드,
65,2025-04-27,12:50:16,케어리브 L 16매,개,1,"3,000","4,500",1,0,"4,500",국민카드,
66,2025-04-27,12:48:03,러지앤톡,개,1,"3,000","6,000",1,0,"12,000",국민카드,
66,2025-04-27,12:48:03,프렌즈 아이드롭 순,개,1,"3,300","6,000",1,0,"12,000",국민카드,
67,2025-04-27,12:38:48,알지퀵,개,1,"1,000","4,000",1,0,"4,000",NH카드,
68,2025-04-27,12:22:55,프렌즈 아이드롭 쿨,개,1,"3,300","6,000",1,0,"6,000",삼성카드,
69,2025-04-27,12:20:37,케어리브 혼합형 20매,개,1,"2,727","4,500",1,0,"4,500",하나카드,
70,2025-04-27,12:06:28,코트리나캡슐,개,1,"1,265","5,000",1,0,"5,000",국민카드,
71,2025-04-27,12:05:34,쎄르텍정10t,개,1,550,"3,000",1,0,"3,000",현대카드,
72,2025-04-27,11:56:39,백초플러스시럽(포),개,1,"3,749","6,000",1,0,"6,000",국민카드,
73,2025-04-27,11:55:49,디나펜플라스타,개,1,"1,172","5,000",1,0,"5,000",국민카드,
74,2025-04-27,11:54:48,디어미순,개,1,"5,401","14,000",1,0,"14,000",NH카드,
75,2025-04-27,11:53:43,코트리나캡슐,개,1,"1,265","5,000",1,0,"12,000",국민카드,
75,2025-04-27,11:53:43,트로겐연조엑스,개,1,"2,640","7,000",1,0,"12,000",국민카드,
76,2025-04-27,11:49:23,알보칠,개,1,"5,225","8,000",1,0,"16,000",비씨카드,
76,2025-04-27,11:49:23,프리백규프로정,개,1,"3,000","8,000",1,0,"16,000",비씨카드,
77,2025-04-27,11:40:54,엔디펜정,개,1,800,"3,000",1,0,"3,000",비씨카드,
78,2025-04-27,11:35:57,그린포비돈요오드액,개,1,590,"1,000",1,0,"1,000",현대카드,
79,2025-04-27,11:25:05,아론정,개,1,870,"3,000",1,0,"13,000",현대카드,
79,2025-04-27,11:25:05,정우안심액(15mL*5포),개,1,"3,872","10,000",1,0,"13,000",현대카드,
80,2025-04-27,11:17:56,코트리나캡슐,개,1,"1,265","5,000",1,0,"5,000",국민카드,
81,2025-04-27,11:10:43,캐롤비코프,개,1,720,"3,500",1,0,"8,500",삼성카드,
81,2025-04-27,11:10:43,코트리나캡슐,개,1,"1,265","5,000",1,0,"8,500",삼성카드,
82,2025-04-27,11:08:49,지르텍정,개,1,"4,200","5,500",1,0,"5,500",삼성카드,
83,2025-04-27,11:07:44,베나치오에프액,개,1,660,"1,000",1,0,"1,000",국민카드,
84,2025-04-27,11:02:07,까스활명수큐액 1병,개,1,"1,050","1,200",2,0,"6,400",비씨카드,
84,2025-04-27,11:02:07,복합파자임이중정 10정,개,1,"1,100","4,000",1,0,"6,400",비씨카드,
85,2025-04-27,10:57:08,노블루겔,개,1,"4,545","12,000",2,0,"25,000",삼성카드,
85,2025-04-27,10:57:08,미관리상품,개,1,0,"1,000",1,0,"25,000",삼성카드,
86,2025-04-27,10:40:48,경방쌍화탕,개,1,532,"2,000",3,0,"9,500",비씨카드,
86,2025-04-27,10:40:48,판텍큐 코프,개,1,693,"3,500",1,0,"9,500",비씨카드,
87,2025-04-27,10:38:50,이지엔6이브연질캡슐,개,1,"1,690","3,500",1,0,"3,500",국민카드,
88,2025-04-27,10:37:46,박카스D,개,1,561,700,1,0,700,현금수납,
89,2025-04-27,10:26:01,판텍큐플러스,개,1,693,"3,500",1,0,"3,500",신한카드,
90,2025-04-27,10:18:36,판콜에스 1박스(30병),개,1,"3,100","3,500",1,0,"3,500",비씨카드,
91,2025-04-27,10:18:06,박카스D,개,1,561,700,1,0,700,신한카드,
92,2025-04-27,10:17:43,메카인정,개,1,600,"2,000",1,0,"2,000",NH카드,
93,2025-04-27,10:16:17,에어캅 부리형 블랙,개,1,400,"1,500",1,0,"1,500",국민카드,
94,2025-04-20,20:41:39,노펜미니플라스타,개,1,"4,400","8,000",1,0,"13,000",비씨카드,
94,2025-04-20,20:41:39,안티푸라민쿨파워,개,1,"1,540","5,000",1,0,"13,000",비씨카드,
95,2025-04-20,20:39:24,벤포파워Z,개,1,973,"3,000",2,0,"28,000",국민카드,
95,2025-04-20,20:39:24,웅기보,개,1,210,"1,000",2,0,"28,000",국민카드,
95,2025-04-20,20:39:24,플라도반액,개,1,"2,333","10,000",2,0,"28,000",국민카드,
96,2025-04-20,20:25:57,코트리나캡슐,개,1,"1,265","5,000",1,0,"5,000",현대카드,
97,2025-04-20,20:21:06,광동생강쌍화,개,1,500,"1,000",1,0,"5,000",신한카드,
97,2025-04-20,20:21:06,타이레놀500mg(10t),개,1,"2,250","4,000",1,0,"5,000",신한카드,
98,2025-04-20,20:09:30,타이레놀500mg(10t),개,1,"2,250","4,000",1,0,"4,000",NH카드,
99,2025-04-20,19:40:48,까스활명수큐액 1병,개,1,"1,050","1,200",2,0,"9,400",삼성카드,
99,2025-04-20,19:40:48,다제스캅셀,개,1,"1,500","4,000",1,0,"9,400",삼성카드,
99,2025-04-20,19:40:48,트리엘정100mg,개,1,660,"3,000",1,0,"9,400",삼성카드,
100,2025-04-20,19:31:08,광동생강쌍화,개,1,500,"1,000",1,0,"11,000",비씨카드,
100,2025-04-20,19:31:08,이브원큐 에스,개,1,770,"3,000",1,0,"11,000",비씨카드,
100,2025-04-20,19:31:08,트로겐연조엑스,개,1,"2,640","7,000",1,0,"11,000",비씨카드,
101,2025-04-20,19:20:32,마그라민트리플액션60,개,1,0,"40,000",1,0,"40,000",신한카드,
102,2025-04-20,18:52:32,탁센레이디,개,1,"1,188","4,000",1,0,"4,000",NH카드,
103,2025-04-20,18:26:02,이브원큐 에스,개,1,770,"3,000",2,0,"6,000",하나카드,
104,2025-04-20,18:24:07,알지퀵,개,1,"1,000","4,000",1,0,"4,000",하나카드,
105,2025-04-20,18:22:36,나프원큐,개,1,880,"3,000",1,0,"3,000",하나카드,
106,2025-04-20,17:52:16,나프원큐,개,1,880,"3,000",1,0,"3,000",비씨카드,
107,2025-04-20,17:45:22,미등록상품,개,1,498,"19,000",1,0,"22,500",국민카드,
107,2025-04-20,17:45:22,판텍큐플러스,개,1,693,"3,500",1,0,"22,500",국민카드,
108,2025-04-20,17:39:11,콜대원 키즈 이부펜,개,1,"2,450","5,000",1,0,"5,000",비씨카드,
109,2025-04-20,17:28:21,프리백규프로정,개,1,"3,000","8,000",1,0,"13,000",하나카드,
109,2025-04-20,17:28:21,현대아시클로버크림,개,1,"1,080","5,000",1,0,"13,000",하나카드,
110,2025-04-20,17:25:00,더마큐연고,개,1,"1,500","5,000",1,0,"5,000",비씨카드,
111,2025-04-20,17:23:02,디나펜 카타플라스,개,1,"1,320","5,000",1,0,"5,000",신한카드,
112,2025-04-20,17:17:19,지르텍정,개,1,"4,200","5,500",1,0,"5,500",신한카드,
113,2025-04-20,17:13:13,나프원큐,개,1,880,"3,000",1,0,"8,000",비씨카드,
113,2025-04-20,17:13:13,청통엑스과립 5포,개,1,"2,200","5,000",1,0,"8,000",비씨카드,
114,2025-04-20,17:03:29,엔디펜정,개,1,800,"3,000",1,0,"6,000",삼성카드,
114,2025-04-20,17:03:29,포박신,개,1,800,"3,000",1,0,"6,000",삼성카드,
115,2025-04-20,17:01:04,네프신정,개,1,"1,400","5,000",1,0,"11,000",삼성카드,
115,2025-04-20,17:01:04,용패탕,개,1,273,"1,000",6,0,"11,000",삼성카드,
116,2025-04-20,16:47:55,이지엔6프로연질캡슐,개,1,"1,690","3,500",1,0,"3,500",비씨카드,
117,2025-04-20,16:42:39,케어리브 L 16매,개,1,"3,000","4,500",1,0,"4,500",국민카드,
118,2025-04-20,16:40:12,코트리나캡슐,개,1,"1,265","5,000",1,0,"5,000",국민카드,
119,2025-04-20,16:31:04,캐롤비코프,개,1,720,"3,500",1,0,"13,500",하나카드,
119,2025-04-20,16:31:04,코앤쿨나잘스프레이,개,1,"4,950","10,000",1,0,"13,500",하나카드,
120,2025-04-20,16:30:34,비타500로열폴리스,개,1,535,"1,000",1,0,"1,000",신한카드,
121,2025-04-20,16:28:04,비아핀에멀젼,개,1,"4,950","12,000",1,0,"12,000",국민카드,
122,2025-04-20,16:24:09,메디폼*H(2매),개,1,"3,927","10,000",1,0,"10,000",롯데카드,
123,2025-04-20,16:12:08,쎄르텍정10t,개,1,550,"3,000",1,0,"8,000",신한카드,
123,2025-04-20,16:12:08,포티텐점안액,개,1,"1,200","5,000",1,0,"8,000",신한카드,
124,2025-04-20,16:04:11,콜대원 키즈 콜드,개,1,"2,530","5,000",1,0,"5,000",삼성카드,
125,2025-04-20,15:54:32,크린클관류제,개,1,"1,320","2,000",1,0,"2,000",롯데카드,
126,2025-04-20,15:53:11,크린클관류제,개,1,"1,320","2,000",1,0,"2,000",현대카드,
127,2025-04-20,15:40:27,크린클관류제,개,1,"1,320","2,000",2,0,"4,000",국민카드,
128,2025-04-20,15:33:59,마데카솔케어연고 6g 소형,개,1,"4,000","5,000",1,0,"17,000",삼성카드,
128,2025-04-20,15:33:59,비판텐 30g,개,1,"9,680","12,000",1,0,"17,000",삼성카드,
129,2025-04-20,15:31:34,아파베린,개,1,580,"3,000",1,0,"3,000",삼성카드,
130,2025-04-20,15:30:22,경방갈근탕액,개,1,495,"2,000",1,0,"5,500",하나카드,
130,2025-04-20,15:30:22,판텍큐플러스,개,1,693,"3,500",1,0,"5,500",하나카드,
131,2025-04-20,15:27:18,까스활명수큐액 1병,개,1,"1,050","1,200",1,0,"1,200",현금수납,
132,2025-04-20,15:24:45,이지엔6이브연질캡슐,개,1,"1,690","3,500",1,0,"3,500",비씨카드,
133,2025-04-20,15:23:37,로프록스네일라카3g 1개,개,1,"8,900","20,000",1,0,"20,000",신한카드,
134,2025-04-20,15:16:09,오메가챔피언80캡슐,개,1,"22,000","40,000",1,0,"40,000",신한카드,
135,2025-04-20,15:12:11,원광우황청심원액(사향),개,1,"6,000","12,000",3,0,"36,000",하나카드,
136,2025-04-20,15:02:07,듀오덤 엑스트라씬 (제이웨이브),개,1,"5,400","10,000",1,0,"10,000",신한카드,
137,2025-04-20,14:45:56,기맥연조엑스(맥문동탕) 5포,개,1,"2,292","7,000",1,0,"12,000",현대카드,
137,2025-04-20,14:45:56,코트리나캡슐,개,1,"1,265","5,000",1,0,"12,000",현대카드,
138,2025-04-20,14:36:30,챔프 노즈시럽,개,1,"1,980","5,000",1,0,"5,000",삼성카드,
139,2025-04-20,14:08:20,나조린점안액,개,1,"1,630","5,000",1,0,"5,000",비씨카드,
140,2025-04-20,14:06:19,이브원큐 에스,개,1,770,"3,000",1,0,"8,500",하나카드,
140,2025-04-20,14:06:19,지르텍정,개,1,"4,200","5,500",1,0,"8,500",하나카드,
141,2025-04-20,14:00:04,아이미루40EX(13ml),개,1,"2,950","7,000",1,0,"7,000",국민카드,
142,2025-04-20,13:57:34,이지엔6이브연질캡슐,개,1,"1,690","3,500",1,0,"3,500",하나카드,
143,2025-04-20,13:52:50,타이레놀콜드에스(10t),개,1,"2,150","4,000",1,0,"4,000",현대카드,
144,2025-04-20,13:40:08,케어리브 L 16매,개,1,"3,000","4,500",1,0,"4,500",비씨카드,
145,2025-04-20,13:27:35,케어리브 빅관절용,개,1,"3,000","5,000",1,0,"5,000",NH카드,
146,2025-04-20,13:14:36,위스콘더블액션현탁액,개,1,"1,400","5,000",1,0,"5,000",국민카드,
147,2025-04-20,13:09:04,나프원큐,개,1,880,"3,000",1,0,"3,000",하나카드,
148,2025-04-20,13:07:30,탁센레이디,개,1,"1,188","4,000",1,0,"4,000",신한카드,
149,2025-04-20,13:02:26,드레싱밴드 살색 대형,개,1,"1,800","4,000",1,0,"8,000",현대카드,
149,2025-04-20,13:02:26,워터락방수밴드L,개,1,"1,430","4,000",1,0,"8,000",현대카드,
150,2025-04-20,12:57:27,노즈큐어 세정기,개,1,"7,300","11,000",1,0,"11,000",국민카드,
151,2025-04-20,12:48:28,뽀로로비타민C,개,1,379,"2,000",1,0,"2,000",비씨카드,
152,2025-04-20,12:44:19,우주멸균가아제5*5,개,1,650,"2,000",1,0,"5,500",국민카드,
152,2025-04-20,12:44:19,이지엔6이브연질캡슐,개,1,"1,690","3,500",1,0,"5,500",국민카드,
153,2025-04-20,12:19:22,엔디펜정,개,1,800,"3,000",1,0,"3,000",신한카드,
154,2025-04-20,12:13:45,지르텍정,개,1,"4,200","5,500",1,0,"5,500",현대카드,
155,2025-04-20,12:13:17,드레싱밴드(XL)3매,개,1,"1,500","5,000",1,0,"11,000",국민카드,
155,2025-04-20,12:13:17,폼포미아쿠아드레싱,개,1,"2,750","6,000",1,0,"11,000",국민카드,
156,2025-04-20,11:46:23,스트렙실 오렌지트로키,개,1,"3,563","8,000",1,0,"32,000",신한카드,
156,2025-04-20,11:46:23,원광우황청심원액(사향),개,1,"6,000","12,000",2,0,"32,000",신한카드,
157,2025-04-20,11:30:40,테라플루 데이타임 건조시럽,개,1,"5,414","9,000",1,0,"9,000",신한카드,
158,2025-04-20,11:07:15,코드에이 연질캡슐 (120C*2EA),개,1,"25,000","70,000",1,"42,501","27,499",현금수납,
159,2025-04-20,10:49:58,훼스탈플러스 10정,개,1,"3,039","3,500",1,0,"3,500",비씨카드,
160,2025-04-20,10:46:58,가넥트액,개,1,880,"5,000",1,"8,040","3,460",현금수납,
160,2025-04-20,10:46:58,디마겐정,개,1,266,"1,000",1,"8,040","3,460",현금수납,
160,2025-04-20,10:46:58,헵포-콤,개,1,"2,000","5,500",1,"8,040","3,460",현금수납,
161,2025-04-20,10:44:13,나프원큐,개,1,880,"3,000",1,0,"3,700",신한카드,
161,2025-04-20,10:44:13,박카스D,개,1,561,700,1,0,"3,700",신한카드,
162,2025-04-20,10:40:58,타이레놀500mg(10t),개,1,"2,250","4,000",1,0,"4,000",하나카드,
163,2025-04-20,10:35:23,오라메디연고10g,개,1,"5,200","8,000",1,0,"8,000",현금수납,
164,2025-04-20,10:33:34,박카스D,개,1,561,700,2,0,"1,400",현금수납,
165,2025-04-13,20:53:49,경방쌍화탕,개,1,574,"19,000",1,0,"19,000",국민카드,
166,2025-04-13,20:44:56,기맥연조엑스(맥문동탕) 5포,개,1,"2,292","7,000",1,0,"18,000",하나카드,
166,2025-04-13,20:44:56,노즈락,개,1,621,"2,000",3,0,"18,000",하나카드,
166,2025-04-13,20:44:56,코트리나캡슐,개,1,"1,265","5,000",1,0,"18,000",하나카드,
167,2025-04-13,20:43:57,에어캅 부리형 블랙,개,1,400,"1,500",1,0,"1,500",비씨카드,
168,2025-04-13,19:57:55,디어미순,개,1,"5,401","14,000",1,0,"14,000",국민카드,
169,2025-04-13,19:52:24,벤포파워Z,개,1,973,"3,000",2,0,"28,000",신한카드,
169,2025-04-13,19:52:24,웅기보,개,1,210,"1,000",2,0,"28,000",신한카드,
169,2025-04-13,19:52:24,플라도반액,개,1,"2,333","10,000",2,0,"28,000",신한카드,
170,2025-04-13,19:48:40,경방갈근탕액,개,1,495,"2,000",3,0,"14,300",현대카드,
170,2025-04-13,19:48:40,신텍스 패독산,개,1,344,800,6,0,"14,300",현대카드,
170,2025-04-13,19:48:40,판텍큐플러스,개,1,693,"3,500",1,0,"14,300",현대카드,
171,2025-04-13,19:42:15,트로겐연조엑스,개,1,"2,640","7,000",1,0,"10,500",삼성카드,
171,2025-04-13,19:42:15,판텍큐플러스,개,1,693,"3,500",1,0,"10,500",삼성카드,
172,2025-04-13,19:21:01,가넥트액,개,1,880,"5,000",1,0,"11,500",현대카드,
172,2025-04-13,19:21:01,디마겐정,개,1,266,"1,000",1,0,"11,500",현대카드,
172,2025-04-13,19:21:01,헵포-콤,개,1,"2,000","5,500",1,0,"11,500",현대카드,
173,2025-04-13,19:19:34,소청연연조엑스(소청룡탕) 5포,개,1,"2,000","7,000",1,0,"12,000",비씨카드,
173,2025-04-13,19:19:34,코트리나캡슐,개,1,"1,265","5,000",1,0,"12,000",비씨카드,
174,2025-04-13,18:56:28,베나치오에프액,개,1,594,"1,000",2,0,"9,500",삼성카드,
174,2025-04-13,18:56:28,타이레놀500mg(10t),개,1,"2,250","4,000",1,0,"9,500",삼성카드,
174,2025-04-13,18:56:28,훼스탈플러스 10정,개,1,"3,039","3,500",1,0,"9,500",삼성카드,
175,2025-04-13,18:51:47,다제스캅셀,개,1,"1,500","4,000",1,0,"12,000",현대카드,
175,2025-04-13,18:51:47,에스톰액,개,1,"2,000","7,000",1,0,"12,000",현대카드,
175,2025-04-13,18:51:47,평위천프라임,개,1,393,"1,000",1,0,"12,000",현대카드,
176,2025-04-13,18:49:59,해피타임얼리,개,1,"1,490","6,000",1,0,"6,000",신한카드,
177,2025-04-13,18:30:40,클리마졸질정,개,1,"1,650","5,000",1,0,"5,000",현대카드,
178,2025-04-13,18:04:45,디나펜플라스타,개,1,"1,172","5,000",1,0,"5,000",신한카드,
179,2025-04-13,18:01:30,덴드리스캡슐20C,개,1,"1,430","5,000",1,0,"5,000",비씨카드,
180,2025-04-13,17:58:57,노스카나겔 20g,개,1,"13,200","20,000",1,0,"20,000",비씨카드,
181,2025-04-13,17:35:36,소청연연조엑스(소청룡탕) 5포,개,1,"2,000","7,000",1,0,"12,000",신한카드,
181,2025-04-13,17:35:36,코트리나캡슐,개,1,"1,265","5,000",1,0,"12,000",신한카드,
182,2025-04-13,17:31:12,까스활명수큐액 1병,개,10,"8,690","11,000",1,0,"25,000",국민카드,
182,2025-04-13,17:31:12,박카스D,개,10,"5,610","7,000",2,0,"25,000",국민카드,
183,2025-04-13,17:29:44,이지엔6이브연질캡슐,개,1,"1,690","3,500",1,0,"3,500",비씨카드,
